受试编号,组别,观看顺序,设计代号,内容类型,问答1得分,问答2得分,答对题数,正确率,获取信息效率_Q1,获取信息效率_Q2,获取信息效率_均值,可读性_Q1,可读性_Q2,可读性_均值,吸引力_Q1,吸引力_Q2,吸引力_均值,主观_综合评价,主观_总分,主观_总分均值,总注视时长_标题层,总注视时长_要点层,总注视时长_详情层,总注视时长_关键图片,注视次数_标题层,注视次数_要点层,注视次数_详情层,注视次数_关键图片,注视时长占比_标题层,注视时长占比_要点层,注视时长占比_详情层,注视时长占比_关键图片,首次注视时间_标题层,首次注视时间_要点层,首次注视时间_详情层,首次注视时间_关键图片,平均注视时长_标题层,平均注视时长_要点层,平均注视时长_详情层,平均注视时长_关键图片,平均瞳孔直径_mm,最小瞳孔直径_mm,最大瞳孔直径_mm,眨眼次数,平均眨眼频率_per_s,扫视次数,平均扫视频率_per_s,总扫视时间_s,平均眼跳水平距离_px,平均眼跳垂直距离_px,平均眼跳绝对距离_px
SIM003,组1,3,Z,白鹈鹕(锚点),0,5,1,0.5,4,2,3.0,4,4,4.0,3,3,3.0,3,23,3.29,6.259,6.956,1.928,3.065,24,23,6,16,29.00329,32.23309,8.93407,14.20276,12.008,12.949,5.756,12.084,0.2608,0.3024,0.3213,0.1916,2.4316,1.9831,2.8252,17,0.2833,280,4.6667,25.538,104.661,130.355,167.171
SIM003,组1,4,F,红果仔,5,5,2,1.0,2,2,2.0,2,3,2.5,4,3,3.5,2,18,2.57,0.806,3.275,4.757,7.423,4,10,22,24,3.69179,15.00075,21.78887,34.00016,10.582,6.004,9.825,4.491,0.2015,0.3275,0.2162,0.3093,2.286,1.978,2.7037,29,0.4833,204,3.4,19.7,198.915,80.252,214.494
SIM004,组1,1,F,红果仔,0,0,0,0.0,2,1,1.5,2,3,2.5,4,3,3.5,2,17,2.43,1.84,2.63,5.382,2.093,7,11,17,10,10.32479,14.75772,30.20002,11.74445,0.283,4.228,11.304,8.17,0.2629,0.2391,0.3166,0.2093,2.558,2.2094,3.0907,9,0.15,259,4.3167,15.693,208.629,170.171,269.229
SIM004,组1,2,C,红耳鹎,0,5,1,0.5,4,3,3.5,5,3,4.0,3,2,2.5,2,22,3.14,1.082,2.638,6.063,2.441,4,13,19,8,4.27276,10.41732,23.94245,9.63937,10.523,7.353,11.439,10.408,0.2705,0.2029,0.3191,0.3051,2.5955,2.0226,3.1325,12,0.2,282,4.7,25.337,202.458,112.307,231.521
SIM004,组1,3,Z,白鹈鹕(锚点),0,5,1,0.5,3,4,3.5,2,3,2.5,4,4,4.0,3,23,3.29,2.868,5.19,2.368,3.44,9,16,8,11,14.38927,26.03916,11.88068,17.2591,11.073,8.333,12.836,2.481,0.3187,0.3244,0.296,0.3127,2.6348,2.3365,3.2863,23,0.3833,105,1.75,18.812,231.538,178.348,292.264
SIM004,组1,4,A,造山运动,5,0,1,0.5,3,2,2.5,3,1,2.0,4,3,3.5,5,21,3.0,4.382,2.379,4.789,7.764,22,8,21,24,17.87411,9.7039,19.53426,31.66923,2.119,6.057,9.719,4.796,0.1992,0.2974,0.228,0.3235,2.3737,1.869,2.8183,6,0.1,257,4.2833,21.825,163.238,102.254,192.62
SIM005,组1,1,F,红果仔,0,0,0,0.0,3,3,3.0,3,3,3.0,3,3,3.0,2,20,2.86,3.027,4.536,3.831,6.249,11,22,22,22,9.8609,14.77669,12.48005,20.35704,7.979,6.745,9.836,5.92,0.2752,0.2062,0.1741,0.284,2.4965,2.1188,2.8448,3,0.05,114,1.9,13.43,176.893,131.557,220.45
SIM005,组1,2,A,造山运动,0,0,0,0.0,3,4,3.5,3,3,3.0,3,3,3.0,4,23,3.29,3.07,0.851,1.938,1.889,15,5,6,8,24.87401,6.89504,15.70222,15.30521,9.151,10.799,1.205,12.591,0.2047,0.1702,0.323,0.2361,2.3165,1.9721,3.1305,25,0.4167,247,4.1167,8.315,215.766,185.256,284.385
SIM005,组1,3,C,红耳鹎,0,0,0,0.0,3,3,3.0,4,2,3.0,2,3,2.5,3,20,2.86,3.14,2.679,2.409,5.548,10,10,8,21,14.49429,12.36631,11.11998,25.60966,4.38,2.641,2.939,8.632,0.314,0.2679,0.3011,0.2642,3.1226,2.8593,3.9148,27,0.45,288,4.8,17.864,150.733,153.671,215.256
SIM005,组1,4,Z,白鹈鹕(锚点),0,0,0,0.0,4,4,4.0,3,1,2.0,4,4,4.0,2,22,3.14,6.087,4.376,2.893,2.007,24,19,15,7,32.54365,23.39593,15.46719,10.73026,10.735,3.001,5.595,1.702,0.2536,0.2303,0.1929,0.2867,2.9073,2.5343,3.4664,31,0.5167,122,2.0333,13.015,146.503,85.6,169.678
SIM006,组1,1,C,红耳鹎,5,5,2,1.0,2,2,2.0,4,2,3.0,1,3,2.0,4,18,2.57,3.814,2.093,6.596,2.522,22,10,21,8,12.89462,7.07615,22.30019,8.52654,4.329,12.26,9.081,12.176,0.1734,0.2093,0.3141,0.3152,2.7282,2.435,3.0812,32,0.5333,246,4.1,22.755,101.749,88.683,134.973
SIM006,组1,2,A,造山运动,0,5,1,0.5,1,3,2.0,4,2,3.0,3,4,3.5,3,20,2.86,2.215,1.256,3.016,1.312,13,7,10,6,21.62854,12.26431,29.44997,12.81113,1.19,12.715,6.967,5.035,0.1704,0.1794,0.3016,0.2187,2.4948,1.8998,3.1027,14,0.2333,210,3.5,18.364,173.283,97.523,198.841
SIM006,组1,3,F,红果仔,5,0,1,0.5,3,4,3.5,2,4,3.0,3,4,3.5,2,22,3.14,2.171,1.951,6.96,5.031,8,6,24,18,9.35594,8.40785,29.99417,21.68113,10.892,5.376,4.709,6.732,0.2714,0.3252,0.29,0.2795,2.5092,2.2262,3.1755,8,0.1333,271,4.5167,10.237,169.937,160.655,233.856
SIM006,组1,4,Z,白鹈鹕(锚点),0,5,1,0.5,3,3,3.0,3,3,3.0,3,3,3.0,4,22,3.14,3.958,3.224,2.566,7.009,12,17,10,22,18.63173,15.17653,12.07908,32.99388,12.247,8.167,8.22,2.293,0.3298,0.1896,0.2566,0.3186,2.4811,1.9653,2.8551,24,0.4,124,2.0667,15.931,106.25,101.772,147.128
SIM007,组1,1,A,造山运动,5,0,1,0.5,3,2,2.5,3,4,3.5,3,4,3.5,2,21,3.0,4.009,4.646,0.879,3.558,13,22,5,11,21.44378,24.85104,4.70169,19.03142,8.776,1.733,1.498,8.193,0.3084,0.2112,0.1758,0.3235,2.6586,2.059,3.4504,0,0.0,299,4.9833,21.041,241.83,184.656,304.269
SIM007,组1,2,Z,白鹈鹕(锚点),0,5,1,0.5,3,3,3.0,3,4,3.5,4,5,4.5,2,24,3.43,2.28,1.688,4.567,3.292,7,8,24,17,17.59223,13.02442,35.23846,25.40071,0.208,11.123,8.766,0.366,0.3257,0.211,0.1903,0.1936,2.8318,2.3693,3.3329,31,0.5167,248,4.1333,26.736,115.238,72.963,136.394
SIM007,组1,3,F,红果仔,5,0,1,0.5,3,4,3.5,4,2,3.0,2,3,2.5,2,20,2.86,2.955,2.416,5.004,2.894,15,10,19,12,20.62672,16.86435,34.92931,20.20092,2.997,3.325,12.723,3.398,0.197,0.2416,0.2634,0.2412,2.1605,1.5895,2.4815,36,0.6,157,2.6167,21.226,105.453,166.871,197.399
SIM007,组1,4,C,红耳鹎,5,5,2,1.0,4,2,3.0,3,3,3.0,2,4,3.0,4,22,3.14,3.062,4.689,2.559,1.595,14,21,11,8,22.24368,34.06291,18.58967,11.58676,10.783,7.429,0.488,5.19,0.2187,0.2233,0.2326,0.1994,2.6199,2.2362,3.3598,25,0.4167,134,2.2333,27.932,165.385,92.888,189.685
SIM008,组1,1,C,红耳鹎,5,5,2,1.0,4,5,4.5,4,4,4.0,3,5,4.0,3,28,4.0,5.139,3.273,6.199,1.186,17,18,23,4,21.32295,13.58047,25.72115,4.921,7.715,10.293,8.37,4.984,0.3023,0.1818,0.2695,0.2965,2.3111,1.8328,3.073,3,0.05,190,3.1667,8.172,168.204,121.216,207.33
SIM008,组1,2,Z,白鹈鹕(锚点),0,0,0,0.0,3,4,3.5,2,4,3.0,4,4,4.0,5,26,3.71,0.896,3.291,1.666,3.819,4,14,6,13,7.5538,27.74502,14.04534,32.19637,5.319,4.902,10.043,2.828,0.224,0.2351,0.2777,0.2938,2.6737,2.0982,3.3941,11,0.1833,272,4.5333,14.827,105.666,111.396,153.539
SIM008,组1,3,F,红果仔,5,5,2,1.0,3,2,2.5,3,3,3.0,3,4,3.5,4,22,3.14,2.869,1.207,4.84,1.085,14,6,16,4,14.83962,6.24309,25.03443,5.61206,1.79,11.84,1.62,3.375,0.2049,0.2012,0.3025,0.2712,2.6513,2.1221,3.2469,31,0.5167,98,1.6333,20.041,137.924,157.667,209.48
SIM008,组1,4,A,造山运动,5,5,2,1.0,3,5,4.0,3,3,3.0,5,3,4.0,3,25,3.57,4.493,4.027,3.245,3.307,19,19,18,13,25.36822,22.73711,18.32181,18.67187,12.722,0.644,2.884,3.441,0.2365,0.2119,0.1803,0.2544,2.5439,2.2448,3.3664,17,0.2833,108,1.8,24.95,97.674,136.493,167.841
SIM009,组1,1,C,红耳鹎,5,0,1,0.5,4,5,4.5,3,4,3.5,5,2,3.5,4,27,3.86,5.097,5.241,4.623,4.701,24,17,24,20,14.449,14.85721,13.1053,13.32642,9.666,1.729,11.567,1.166,0.2124,0.3083,0.1926,0.235,2.7773,2.4862,3.4474,28,0.4667,282,4.7,25.453,227.702,182.27,291.669
SIM009,组1,2,A,造山运动,0,0,0,0.0,2,3,2.5,5,5,5.0,2,4,3.0,4,25,3.57,4.531,2.558,6.437,0.778,14,12,24,3,16.15322,9.11938,22.94819,2.7736,0.63,0.663,10.03,10.767,0.3236,0.2132,0.2682,0.2593,2.5943,2.0406,3.4159,30,0.5,104,1.7333,12.554,208.263,154.688,259.427
SIM009,组1,3,F,红果仔,0,5,1,0.5,4,3,3.5,4,4,4.0,3,4,3.5,3,25,3.57,1.265,4.15,5.179,6.076,4,13,16,20,6.51407,21.37026,26.66905,31.28812,7.845,7.925,3.424,0.72,0.3162,0.3192,0.3237,0.3038,2.9538,2.6883,3.4731,13,0.2167,219,3.65,25.433,156.347,162.21,225.292
SIM009,组1,4,Z,白鹈鹕(锚点),5,5,2,1.0,4,5,4.5,3,3,3.0,5,2,3.5,3,25,3.57,1.306,3.305,3.301,6.141,4,12,13,20,5.95379,15.06683,15.04859,27.99558,1.043,2.343,4.689,3.07,0.3265,0.2754,0.2539,0.307,2.4005,2.055,2.7935,21,0.35,133,2.2167,19.782,185.558,75.436,200.306
SIM010,组1,1,C,红耳鹎,0,5,1,0.5,4,5,4.5,4,4,4.0,2,4,3.0,5,28,4.0,1.697,1.219,5.661,2.581,9,6,20,8,8.43421,6.05852,28.13558,12.82776,4.03,10.809,3.901,9.527,0.1886,0.2032,0.283,0.3226,2.6044,2.2799,3.0335,20,0.3333,154,2.5667,10.237,219.688,117.437,249.107
SIM010,组1,2,A,造山运动,5,0,1,0.5,5,3,4.0,2,2,2.0,2,2,2.0,2,18,2.57,1.328,1.972,2.454,1.471,7,7,12,6,8.98153,13.33703,16.59689,9.94867,5.636,6.767,4.844,7.361,0.1897,0.2817,0.2045,0.2452,2.8664,2.4437,3.5084,16,0.2667,135,2.25,19.909,185.706,83.452,203.595
SIM010,组1,3,F,红果仔,5,0,1,0.5,2,4,3.0,2,3,2.5,4,4,4.0,5,24,3.43,5.896,1.112,7.687,3.495,20,5,24,17,20.08537,3.78815,26.1866,11.9061,11.454,1.841,3.983,7.15,0.2948,0.2224,0.3203,0.2056,2.9396,2.639,3.6244,8,0.1333,144,2.4,27.273,159.049,70.209,173.856
SIM010,组1,4,Z,白鹈鹕(锚点),0,0,0,0.0,3,3,3.0,4,3,3.5,4,2,3.0,3,22,3.14,4.863,5.952,2.24,2.331,16,19,13,9,29.2215,35.76525,13.46004,14.00685,8.546,7.445,4.497,7.15,0.3039,0.3133,0.1723,0.259,2.3368,1.9735,2.8675,10,0.1667,173,2.8833,24.895,130.499,105.026,167.513
SIM011,组1,1,C,红耳鹎,0,5,1,0.5,4,4,4.0,5,5,5.0,3,5,4.0,3,29,4.14,2.005,2.741,4.422,0.997,11,9,19,5,14.27161,19.51047,31.47584,7.09666,9.74,2.53,3.465,7.467,0.1823,0.3046,0.2327,0.1994,2.6345,2.2805,2.9951,23,0.3833,141,2.35,19.072,190.621,134.039,233.03
SIM011,组1,2,Z,白鹈鹕(锚点),0,5,1,0.5,5,4,4.5,2,4,3.0,4,3,3.5,3,25,3.57,4.85,6.127,5.376,4.029,16,21,24,15,17.00388,21.48098,18.84801,14.12549,12.591,7.081,8.735,5.472,0.3031,0.2918,0.224,0.2686,2.6762,2.2712,3.2929,25,0.4167,265,4.4167,8.945,186.423,130.136,227.352
SIM011,组1,3,A,造山运动,5,0,1,0.5,5,3,4.0,3,3,3.0,4,4,4.0,5,27,3.86,3.232,3.751,4.147,2.023,13,22,24,8,22.41734,26.01715,28.76383,14.03164,6.086,2.189,1.842,3.795,0.2486,0.1705,0.1728,0.2529,2.5312,1.9395,3.3529,35,0.5833,171,2.85,16.302,145.588,158.737,215.391
SIM011,组1,4,F,红果仔,5,5,2,1.0,3,4,3.5,3,3,3.0,3,2,2.5,4,22,3.14,5.901,5.734,2.26,1.752,24,21,13,8,25.02575,24.31751,9.58451,7.43011,11.62,3.001,8.645,11.417,0.2459,0.273,0.1738,0.219,2.4245,1.8798,2.9431,16,0.2667,155,2.5833,25.86,205.5,109.144,232.686
SIM012,组1,1,Z,白鹈鹕(锚点),5,0,1,0.5,5,5,5.0,3,4,3.5,5,5,5.0,3,30,4.29,5.647,3.514,1.725,0.688,19,19,8,4,36.61128,22.78237,11.18372,4.46052,8.25,6.872,5.075,8.105,0.2972,0.1849,0.2156,0.172,2.6697,2.2159,3.1485,2,0.0333,211,3.5167,20.337,166.386,189.082,251.866
SIM012,组1,2,C,红耳鹎,0,0,0,0.0,3,5,4.0,2,4,3.0,3,4,3.5,3,24,3.43,3.419,3.153,1.072,1.863,16,15,6,7,31.76568,29.29429,9.95987,17.309,8.551,4.232,5.773,8.862,0.2137,0.2102,0.1787,0.2661,2.7015,2.2222,3.174,10,0.1667,283,4.7167,15.605,136.544,155.449,206.902
SIM012,组1,3,A,造山运动,0,0,0,0.0,3,5,4.0,3,5,4.0,2,5,3.5,3,26,3.71,4.844,1.497,4.169,3.768,18,5,17,13,22.1351,6.84068,19.05063,17.21822,5.4,1.635,5.582,5.499,0.2691,0.2994,0.2452,0.2898,2.7184,2.4101,3.2475,16,0.2667,249,4.15,16.673,165.709,87.032,187.174
SIM012,组1,4,F,红果仔,5,5,2,1.0,3,4,3.5,3,3,3.0,3,5,4.0,3,24,3.43,5.444,3.016,3.203,4.99,21,10,11,19,21.35779,11.83231,12.56594,19.57667,6.758,12.299,12.647,5.489,0.2592,0.3016,0.2912,0.2626,3.2368,2.9051,3.7848,17,0.2833,109,1.8167,20.493,155.768,67.583,169.797
SIM013,组1,1,C,红耳鹎,5,5,2,1.0,2,4,3.0,4,4,4.0,3,3,3.0,2,22,3.14,2.212,3.067,1.276,2.487,13,18,6,11,17.2107,23.86312,9.92805,19.35037,7.784,12.692,8.48,9.447,0.1702,0.1704,0.2127,0.2261,2.6939,2.1696,2.9984,23,0.3833,177,2.95,11.668,235.712,76.436,247.795
SIM013,组1,2,A,造山运动,5,5,2,1.0,5,2,3.5,5,5,5.0,3,2,2.5,3,25,3.57,2.07,2.637,4.037,5.098,10,8,19,19,11.00625,14.02101,21.46485,27.10621,11.953,11.027,1.583,4.566,0.207,0.3296,0.2125,0.2683,2.6408,2.3193,3.2453,35,0.5833,137,2.2833,25.516,109.006,184.083,213.937
SIM013,组1,3,F,红果仔,0,0,0,0.0,3,3,3.0,4,4,4.0,2,2,2.0,4,22,3.14,5.457,5.613,1.601,4.008,23,20,8,17,18.05262,18.5687,5.29636,13.2591,6.679,1.541,11.883,9.943,0.2373,0.2807,0.2001,0.2358,3.0373,2.4873,3.753,7,0.1167,297,4.95,26.235,108.845,82.191,136.391
SIM013,组1,4,Z,白鹈鹕(锚点),0,0,0,0.0,3,4,3.5,4,4,4.0,4,4,4.0,4,27,3.86,2.199,1.747,2.706,3.334,10,6,14,19,11.65103,9.25619,14.33729,17.66464,4.989,12.385,9.38,7.802,0.2199,0.2912,0.1933,0.1755,2.9292,2.3323,3.4227,20,0.3333,166,2.7667,27.495,152.742,161.457,222.258
SIM014,组1,1,F,红果仔,5,0,1,0.5,4,5,4.5,2,4,3.0,3,5,4.0,3,26,3.71,2.251,2.395,5.854,1.133,11,9,19,4,17.02474,18.11384,44.27491,8.56909,12.878,8.614,2.604,6.081,0.2046,0.2661,0.3081,0.2833,2.6921,2.3597,3.2656,29,0.4833,171,2.85,24.3,198.227,122.716,233.138
SIM014,组1,2,Z,白鹈鹕(锚点),0,0,0,0.0,3,5,4.0,3,5,4.0,5,3,4.0,4,28,4.0,5.493,3.371,1.94,0.545,17,13,7,3,31.60503,19.39569,11.16216,3.13576,1.386,0.98,4.623,7.925,0.3231,0.2593,0.2771,0.1817,2.3697,1.7814,3.1984,2,0.0333,246,4.1,27.109,145.957,136.129,199.586
SIM014,组1,3,A,造山运动,0,5,1,0.5,5,5,5.0,5,4,4.5,3,3,3.0,4,29,4.14,3.94,4.624,3.01,4.971,21,15,12,20,11.58995,13.60201,8.85425,14.62275,2.2,1.585,0.569,5.036,0.1876,0.3083,0.2508,0.2485,2.5348,2.2824,3.2468,0,0.0,170,2.8333,20.141,209.159,104.793,233.942
SIM014,组1,4,C,红耳鹎,0,5,1,0.5,4,4,4.0,4,3,3.5,3,3,3.0,3,24,3.43,3.406,2.778,2.55,4.376,14,10,9,16,14.56677,11.88094,10.90583,18.71526,9.815,10.217,5.384,11.204,0.2433,0.2778,0.2833,0.2735,2.6078,2.2349,3.2575,10,0.1667,154,2.5667,23.835,193.89,172.272,259.367
SIM015,组1,1,F,红果仔,5,0,1,0.5,4,4,4.0,4,4,4.0,5,5,5.0,1,27,3.86,1.014,5.983,3.388,3.895,5,19,15,18,3.68404,21.73731,12.30921,14.15123,11.453,1.668,9.748,3.348,0.2028,0.3149,0.2259,0.2164,2.9565,2.6195,3.3902,30,0.5,113,1.8833,25.319,201.667,69.337,213.254
SIM015,组1,2,C,红耳鹎,5,5,2,1.0,4,3,3.5,4,2,3.0,5,5,5.0,4,27,3.86,4.077,4.428,4.456,1.017,21,17,19,4,26.8107,29.11891,29.30304,6.68788,6.009,4.017,6.133,10.285,0.1941,0.2605,0.2345,0.2542,2.9569,2.4943,3.4833,16,0.2667,301,5.0167,26.453,209.125,117.418,239.834
SIM015,组1,3,Z,白鹈鹕(锚点),0,0,0,0.0,5,5,5.0,3,4,3.5,5,4,4.5,4,30,4.29,2.205,2.653,0.837,3.281,8,14,3,14,17.39877,20.93376,6.60443,25.88905,10.42,3.353,4.041,9.833,0.2756,0.1895,0.279,0.2344,2.4635,2.118,3.1694,23,0.3833,271,4.5167,21.151,213.833,76.416,227.077
SIM015,组1,4,A,造山运动,5,5,2,1.0,4,2,3.0,5,4,4.5,5,4,4.5,4,28,4.0,4.782,1.105,3.923,1.433,15,5,15,7,22.99554,5.31369,18.8648,6.89097,12.431,6.185,11.346,9.88,0.3188,0.221,0.2615,0.2047,2.4521,1.9937,2.8469,24,0.4,164,2.7333,26.792,221.395,171.692,280.168
SIM016,组1,1,C,红耳鹎,0,5,1,0.5,4,2,3.0,5,4,4.5,4,3,3.5,4,26,3.71,5.08,2.656,5.209,4.93,19,11,20,22,18.95172,9.90861,19.43297,18.39212,1.207,10.28,2.949,3.086,0.2674,0.2415,0.2604,0.2241,2.6908,2.3268,3.363,20,0.3333,276,4.6,17.078,226.564,83.669,241.52
SIM016,组1,2,F,红果仔,5,5,2,1.0,2,3,2.5,5,4,4.5,5,2,3.5,3,24,3.43,4.322,7.127,4.217,4.999,20,22,14,16,15.24759,25.14336,14.87716,17.63598,5.831,3.961,8.777,7.639,0.2161,0.324,0.3012,0.3124,2.4993,2.2289,3.225,13,0.2167,95,1.5833,25.85,97.799,150.786,179.725
SIM016,组1,3,A,造山运动,5,0,1,0.5,5,5,5.0,4,3,3.5,5,4,4.5,4,30,4.29,1.755,5.826,3.083,1.182,8,18,13,5,11.41214,37.88439,20.04764,7.68612,0.208,5.042,1.125,6.165,0.2194,0.3237,0.2372,0.2364,2.7317,2.1345,3.1299,26,0.4333,122,2.0333,20.143,164.472,99.38,192.165
SIM016,组1,4,Z,白鹈鹕(锚点),0,0,0,0.0,4,5,4.5,5,3,4.0,3,4,3.5,3,27,3.86,2.579,1.902,5.314,2.567,10,6,19,15,14.46553,10.66826,29.80607,14.39823,12.848,11.318,12.862,11.797,0.2579,0.317,0.2797,0.1711,2.4836,1.8875,3.0261,18,0.3,289,4.8167,20.982,243.478,105.199,265.232
SIM017,组1,1,A,造山运动,0,5,1,0.5,4,5,4.5,2,5,3.5,4,3,3.5,4,27,3.86,6.377,1.537,3.673,3.869,20,6,19,15,29.44409,7.09669,16.95909,17.86407,9.035,12.056,6.587,2.71,0.3188,0.2562,0.1933,0.2579,2.5727,2.3008,3.349,36,0.6,180,3.0,24.404,127.755,154.01,200.101
SIM017,组1,2,F,红果仔,0,0,0,0.0,4,3,3.5,3,4,3.5,3,3,3.0,4,24,3.43,3.633,0.945,2.771,4.862,12,5,9,16,14.79676,3.84887,11.28594,19.80233,4.58,0.171,10.486,0.636,0.3028,0.189,0.3079,0.3039,2.5316,2.1727,3.0731,29,0.4833,98,1.6333,25.725,130.54,132.795,186.213
SIM017,组1,3,C,红耳鹎,5,0,1,0.5,4,1,2.5,3,3,3.0,4,5,4.5,4,24,3.43,3.476,1.306,3.267,3.058,16,4,15,11,25.23316,9.48058,23.71597,22.19879,6.408,9.438,9.779,4.259,0.2172,0.3265,0.2178,0.278,2.6267,2.26,3.4594,20,0.3333,289,4.8167,23.871,176.669,82.176,194.845
SIM017,组1,4,Z,白鹈鹕(锚点),5,5,2,1.0,4,4,4.0,1,3,2.0,5,5,5.0,2,24,3.43,4.404,1.51,1.883,4.663,15,8,6,17,20.30724,6.96275,8.68268,21.50152,6.496,8.829,8.356,8.611,0.2936,0.1888,0.3138,0.2743,2.7915,2.3709,3.6291,28,0.4667,222,3.7,13.74,133.457,77.362,154.259
SIM018,组1,1,F,红果仔,0,5,1,0.5,3,4,3.5,3,3,3.0,3,3,3.0,4,23,3.29,3.095,7.638,1.212,4.645,15,24,4,23,12.69947,31.3404,4.9731,19.05946,1.74,9.875,8.612,6.428,0.2063,0.3182,0.303,0.202,2.4813,1.891,2.8157,8,0.1333,182,3.0333,25.494,135.591,166.979,215.097
SIM018,组1,2,Z,白鹈鹕(锚点),0,5,1,0.5,3,5,4.0,5,3,4.0,4,3,3.5,4,27,3.86,3.306,2.594,5.051,5.572,13,10,24,18,16.2158,12.72347,24.77495,27.33043,12.732,6.605,7.791,6.1,0.2543,0.2594,0.2105,0.3096,2.7888,2.3277,3.4474,31,0.5167,141,2.35,9.509,125.733,81.887,150.048
